location,year,hate_crime_incident_count,BEA_percapita_personal_income,BEA_personal_income_mills,1_revenue,2_general_revenue,3_intergovernmental_revenue,4_from_federal_government,5_from_state_government,6_from_local_governments,7_general_revenue_from_own_sources,8_taxes,9_property,10_sales_and_gross_receipts,11_general_sales,12_selective_sales,13_motor_fuel,14_alcoholic_beverage,15_tobacco_products,16_public_utilities,17_other_selective_sales,18_individual_income,19_corporate_income,20_motor_vehicle_license,21_other_taxes,22_charges_and_miscellaneous_general_revenue,23_current_charges,24_education,25_institutions__of_higher_education,26_school_lunch_sales_gross,27_hospitals,28_highways,29_air_transportation_airports,30_parking_facilities,31_sea_and_inland_port_facilities,32_natural_resources,33_parks_and_recreation,34_housing_and_community_development,35_sewerage,36_solid_waste_management,37_other_charges,38_miscellaneous_general_revenue,39_interest_earnings,40_special_assessments,41_sale_of_property,42_other_general_revenue,43_utility_revenue,44_water_supply,45_electric_power,46_gas_supply,47_transit,48_liquor_store_revenue,49_insurance_trust_revenue,50_unemployment_compensation,51_employee_retirement,52_workers_compensation,53_other_insurance_trust_revenue,54_expenditure,55_intergovernmental_expenditure,56_direct_expenditure,57_current_operations,58_capital_outlay,59_construction,60_other_capital_outlay,61_assistance_and_subsidies,62_interest_on_debt,63_insurance_benefits_and_repayments,64_exhibit_salaries_and_wages,65_direct_expenditure_by_function,66_direct_general_expenditure,67_capital_outlay,68_other_direct_general_expenditure,69_education,70_capital_outlay,71_higher_education,72_capital_outlay,73_elementary__secondary,74_capital_outlay,75_other_education,76_libraries,77_public_welfare,78_cash_assistance_payments,79_vendor_payments,80_other_public_welfare,81_hospitals,82_capital_outlay,83_health,84_employment_security_administration,85_veterans_services,86_highways,87_capital_outlay,88_air_transportation_airports,89_parking_facilities,90_sea_and_inland_port_facilities,92_police_protection,93_fire_protection,94_correction,95_capital_outlay,96_protective_inspection_and_regulation,97_natural_resources,98_capital_outlay,99_parks_and_recreation,100_capital_outlay,101_housing_and_community_development,102_sewerage,103_capital_outlay,104_solid_waste_management,105_capital_outlay,106_financial_administration,107_judicial_and_legal,108_general_public_buildings,109_other_governmental_administration,110_interest_on_general_debt,111_miscellaneous_commercial_activities,112_other_and_unallocable,113_utility_expenditure,114_capital_outlay,115_water_supply,116_electric_power,117_gas_supply,118_transit,119_liquor_store_expenditure,120_insurance_trust_expenditure,121_unemployment_compensation,122_employee_retirement,123_workers_compensation,124_other_insurance_trust,125_debt_outstanding,126_shortterm,127_longterm,130_public_debt_for_private_purposes,134_longterm_debt_issued,135_longterm_debt_retired,136_cash_and_security_holdings,137_insurance_trust_funds,138_unemployment_compensation,139_employee_retirement,140_workers_compensation,141_miscellaneous,142_other_than_insurance_trust_funds,143_offsets_to_debt,144_bond_funds,145_other
Alaska,2019,11,61639,45293.9,13840325,12106780,3963195,3963195,0,0,8143585,3741738,1625180,697602,262969,434633,57392,47055,97609,18765,213812,0,332520,58215,1028221,4401847,1647524,214009,184461,9047,427901,77013,198123,1416,78255,24012,21681,46192,118030,95094,345797,2754323,1322691,10428,419118,1002086,426059,116289,304026,0,5743,10393,1297094,144119,1147345,5630,0,14996568,0,14996568,11041512,2004039,1639252,364787,154941,331457,1464618,3607036,14996568,12908348,1891406,11016942,3177323,204009,746254,73090,2345759,130801,85310,36778,2786410,119053,2323495,343862,453669,6773,236302,18478,0,1316614,713539,373209,1366,139244,383142,227941,338387,8970,41305,403624,26643,124265,15328,234028,156645,72077,117992,20646,386187,242974,82399,297103,291725,275936,765299,615909,112631,134591,349930,80645,50744,7693,1464618,85082,1376218,3318,0,9505582,60367,9445215,3755323,654940,839814,101209834,16709916,953558,15735384,20974,0,84499918,4312777,354165,79832976
Arizona,2013,201,37139,243752.3,57888262,44775535,11220863,11220863,0,0,33554672,23049623,6732461,11444211,9451424,1992787,781426,68684,315428,198487,628762,3397707,662026,196153,617065,10505049,7207042,2340551,2089429,89341,1956255,20118,442666,5781,0,139431,130969,30358,845966,444712,850235,3298007,685886,62459,378723,2170939,4586508,1366279,3061035,43081,116113,0,8526219,875284,7135166,515769,0,52177678,0,52177678,37917336,6217962,4594396,1623566,1673782,1859085,4509513,14039311,52177678,42173900,4599581,37574319,14379096,1352404,5073188,787825,7458551,558990,1847357,166619,8340306,89881,6934836,1315589,1410203,90417,2118598,96683,9933,2269671,1327419,521514,3626,0,2043431,1086115,1603521,46900,217831,596347,181372,636556,112244,566197,857676,440392,374421,41683,539214,983476,211401,481449,1458142,15734,1186140,5494265,1618381,1173607,3421620,52544,846494,0,4509513,664540,3693498,151475,0,49108116,80152,49027964,8103277,4613919,5456257,79739443,42268139,-98675,38778019,3588795,0,37471304,10906921,4709724,21854659
Arizona,2014,265,38756,257272.3,59764108,44764215,11596737,11596737,0,0,33167478,22557095,6615108,11041479,9009103,2032376,779970,71136,311811,201963,667496,3462413,575180,200246,662669,10610383,7468069,2498364,2248416,89740,1937642,21825,463213,9463,0,117200,140890,30458,903033,456511,889470,3142314,847370,49253,159350,2086341,4741673,1359567,3221889,42936,117281,0,10258220,307620,9950600,0,0,53732114,0,53732114,39972599,5230664,4155857,1074807,1860987,1957278,4710586,14357814,53732114,43440170,3779027,39661143,15084180,1227285,5064607,541197,7969696,678886,2049877,162641,8907314,91302,7416562,1399450,1718192,89148,2245944,96683,8596,2045728,1107589,514780,10428,0,2042867,1051982,1651930,54803,214185,529910,127085,646560,75632,535522,699913,249001,375054,23353,554598,977205,200545,458244,1538774,3742,1164653,5581358,1451637,1269220,3353637,55350,903151,0,4710586,730513,3980073,0,0,47925104,53911,47871193,8752941,2681613,4037300,86354501,47582692,1198312,46384380,0,0,38771809,12081184,3074141,23616484
Arizona,2015,276,40334,270815.5,56825852,47291359,14180674,14180674,0,0,33110685,23335356,7001759,10982473,8918995,2063478,753814,71270,314239,217567,706588,3760883,690960,210011,689270,9775329,6577442,2719903,2503390,84562,717192,24863,482887,12974,0,133153,153166,30787,920885,467053,914579,3197887,762157,44125,168141,2223464,4826427,1383506,3284123,43613,115185,0,4708066,462457,4245609,0,0,51738519,0,51738519,39628012,5016452,4337787,678665,898849,1711026,4484180,14376855,51738519,41486266,3633725,37852541,13890587,1170854,5509167,672413,7732726,497731,648694,170777,10111236,302975,7244783,2563478,951024,20482,907483,0,15863,2235299,1154277,482942,21153,0,2113256,1080485,1685612,28265,189452,476500,64907,644373,65972,516628,777430,315696,387708,20412,553316,961423,197975,633793,1304958,3358,1173635,5768073,1382727,1264292,3615680,55224,832877,0,4484180,314073,4170107,0,0,48341165,235640,48105525,9329410,6655012,7225842,87240774,46330090,249716,46080374,0,0,40910684,12823838,3300585,24786261
Arizona,2016,217,41473,282085.1,59058409,50455305,14900864,14900864,0,0,35554441,25023736,7329760,12202334,9872128,2330206,898234,72281,317331,219460,822900,3968884,570548,231309,720901,10530705,6937158,2930839,2705651,82831,821916,22030,482654,14538,0,134782,177139,25555,915645,465378,946682,3593547,973252,51545,145909,2422841,4907949,1456166,3302914,43202,105667,0,3695155,485137,3210018,0,0,56101988,0,56101988,43471734,5058420,4177289,881131,977712,1883060,4711062,14674695,56101988,45852942,3713249,42139693,14539617,1172925,5964228,641745,7840634,528832,734755,171791,12937972,318930,9889763,2729279,1011959,30130,868144,2,14501,2445191,1347477,519142,9292,0,2267170,1119648,1686597,22178,195404,483002,84403,665351,40213,452383,725605,223975,423847,41726,551930,971356,250478,620429,1486637,2155,1433339,5537984,1345171,1337004,3395738,52766,752476,0,4711062,278520,4432542,0,0,48534388,277831,48256557,9970889,5044988,5091676,89214840,45109479,644034,44465445,0,0,44105361,13808717,3174581,27122063
Arizona,2018,169,45299,315732.2,69768900,55091014,16635132,16635132,0,0,38455883,27455713,8053424,13436524,11085615,2350908,869183,76378,312808,225674,866866,4545242,373076,232068,815380,11000169,6988523,3202192,2961265,84523,585661,18089,452137,17199,0,114167,186746,28044,943701,492245,948342,4011646,1189705,70035,149196,2602710,5242481,1630878,3467406,43410,100787,0,9435405,526490,8908915,0,0,61219128,0,61219128,47346064,6120513,5019021,1101492,1045423,1784347,4922782,15656698,61219128,49969429,4454661,45514767,15774333,1436425,6369940,686968,8527454,748089,876939,194916,15117077,224078,11796698,3096301,708991,33029,862549,111827,8689,2677054,1492856,676890,10526,0,2395354,1233469,1722748,28196,208456,443343,54356,836841,111997,449467,756304,244693,461977,52696,500497,1054705,200833,663053,1414091,4938,1480503,6326917,1665851,1708176,3599954,37937,980851,0,4922782,237310,4685472,0,0,46190896,522627,45668268,9482235,5101312,5924828,99393896,54523290,1703926,52819364,0,0,44870606,13358272,2629933,28882401
Arizona,2019,209,47242,334023.9,72092529,59016577,17553381,17553381,0,0,41463196,29832720,8373498,14382388,11954500,2427888,885012,78122,309128,221813,933813,5357251,514264,267361,937958,11630476,7218068,3326987,3082170,89890,583614,18547,464781,18117,0,122669,183911,30783,955375,504318,1008966,4412408,1354858,100245,257916,2699388,5396160,1628498,3626202,42473,98988,0,7679792,466128,7213664,0,0,64120262,0,64120262,49096933,7066634,5322154,1744479,1143464,1733364,5079868,16357941,64120262,52870963,5290618,47580346,17029091,1953952,6485772,617956,9574378,1334578,968941,193091,15900080,229225,12358459,3312396,752335,55948,879803,111914,10732,2801075,1615417,710905,10310,0,2561784,1421345,1843456,97121,213198,468045,62852,886437,157477,485169,756918,219315,477488,61266,556013,1024297,202506,689131,1373883,11606,1500351,6169431,1776016,1576149,3568517,37714,987050,0,5079868,209766,4870102,0,0,44528672,414976,44113697,9001456,3219608,3740102,105098826,56725349,2194752,54530597,0,0,48373477,12928422,2768994,32676061
Arkansas,2013,27,36677,108367.8,26893348,21352470,6033557,6033557,0,0,15318913,10768534,1946895,5240599,3854931,1385668,455976,55959,237328,152768,483637,2649577,402874,149982,378607,4550379,3203450,1092573,937293,53027,1085037,6863,70711,3934,3538,25311,62273,29886,273619,163383,386322,1346929,272916,34471,17113,1022429,1001485,479751,514523,3745,3466,0,4539393,855484,3666766,17143,0,24024061,112,24023949,18598504,2390583,1922615,467968,506914,532034,1995914,6932260,24023949,21013478,2204670,18808808,8101016,867240,2607159,333136,4910061,533975,583796,103116,5109534,16574,4557061,535899,990580,30580,290382,94063,1177,1541128,828542,118918,2459,3073,640326,268442,455516,14599,87238,273406,9168,231201,48558,192440,310862,136302,218359,20286,619424,184720,42966,204435,481820,38224,408653,1014557,185913,497742,486242,3239,27334,0,1995914,518026,1461736,16152,0,13990376,1263,13989113,3975815,2465464,1964078,36769014,22045563,140334,21770961,134268,0,14723451,4899533,1361911,8462007
Arkansas,2014,11,38749,114743.3,28400573,22120189,6378068,6378068,0,0,15742121,11121081,1978273,5573670,4183027,1390643,454967,57403,225809,143389,509075,2602160,398493,153445,415040,4621040,3303216,1114701,959424,49313,1110592,6266,72614,3667,4374,25892,67042,31361,280302,172655,413750,1317824,271657,27702,23549,994916,991622,477421,507483,3250,3468,0,5288762,271205,4998535,19022,0,24998998,130,24998868,19533927,2348961,1939827,409134,476841,533519,2105620,6905291,24998868,21897536,2197189,19700347,8075017,742829,2639380,318515,4877237,424314,558400,111416,5579229,12984,4975626,590619,1014597,21808,310819,91576,1680,1652996,895650,135335,2639,3137,645494,280655,493533,29505,93866,335358,14734,237913,45634,179378,352371,163879,217645,15945,652876,202197,42098,209810,482324,38202,455375,995712,151772,477504,485820,3114,29274,0,2105620,523515,1566483,15622,0,15016919,783,15016136,3768645,2582427,1647781,42123006,26631334,-60047,26562254,129127,0,15491672,4730636,1731356,9029680
Arkansas,2015,6,39968,118719.5,26844680,23620786,7298313,7298313,0,0,16322473,11476352,2050389,5698393,4261540,1436853,461789,58773,225097,151734,539460,2664153,476553,157628,429236,4846121,3363673,1006031,850094,49648,1221311,10415,75305,3694,3810,25185,77591,29436,297557,174267,439071,1482448,258342,21675,31449,1170982,986437,471973,507249,3599,3616,0,2237457,363697,1856986,16774,0,26098283,132,26098151,20724324,2441942,2013310,428632,467159,521491,1943235,6940917,26098151,23150567,2285383,20865184,8133500,872413,2561814,360808,5021308,511556,550378,104302,6591349,11237,5959009,621103,1073265,16967,325156,90342,1611,1711893,882772,110065,4042,5165,677496,296426,527918,29806,89642,341151,22242,259873,63568,190540,322334,126489,224799,20497,667318,201835,41639,227749,471419,41217,418521,1004349,156559,484317,486636,3247,30149,0,1943235,247482,1680653,15100,0,15614229,2297,15611932,4137676,2516473,1928942,43536648,26871168,691166,26057080,122922,0,16665480,5234015,1579222,9852243
