location,year,hate_crime_incident_count,BEA_percapita_personal_income,BEA_personal_income_mills,1_revenue,2_general_revenue,3_intergovernmental_revenue,4_from_federal_government,5_from_state_government,6_from_local_governments,7_general_revenue_from_own_sources,8_taxes,9_property,10_sales_and_gross_receipts,11_general_sales,12_selective_sales,13_motor_fuel,14_alcoholic_beverage,15_tobacco_products,16_public_utilities,17_other_selective_sales,18_individual_income,19_corporate_income,20_motor_vehicle_license,21_other_taxes,22_charges_and_miscellaneous_general_revenue,23_current_charges,24_education,25_institutions__of_higher_education,26_school_lunch_sales_gross,27_hospitals,28_highways,29_air_transportation_airports,30_parking_facilities,31_sea_and_inland_port_facilities,32_natural_resources,33_parks_and_recreation,34_housing_and_community_development,35_sewerage,36_solid_waste_management,37_other_charges,38_miscellaneous_general_revenue,39_interest_earnings,40_special_assessments,41_sale_of_property,42_other_general_revenue,43_utility_revenue,44_water_supply,45_electric_power,46_gas_supply,47_transit,48_liquor_store_revenue,49_insurance_trust_revenue,50_unemployment_compensation,51_employee_retirement,52_workers_compensation,53_other_insurance_trust_revenue,54_expenditure,55_intergovernmental_expenditure,56_direct_expenditure,57_current_operations,58_capital_outlay,59_construction,60_other_capital_outlay,61_assistance_and_subsidies,62_interest_on_debt,63_insurance_benefits_and_repayments,64_exhibit_salaries_and_wages,65_direct_expenditure_by_function,66_direct_general_expenditure,67_capital_outlay,68_other_direct_general_expenditure,69_education,70_capital_outlay,71_higher_education,72_capital_outlay,73_elementary__secondary,74_capital_outlay,75_other_education,76_libraries,77_public_welfare,78_cash_assistance_payments,79_vendor_payments,80_other_public_welfare,81_hospitals,82_capital_outlay,83_health,84_employment_security_administration,85_veterans_services,86_highways,87_capital_outlay,88_air_transportation_airports,89_parking_facilities,90_sea_and_inland_port_facilities,92_police_protection,93_fire_protection,94_correction,95_capital_outlay,96_protective_inspection_and_regulation,97_natural_resources,98_capital_outlay,99_parks_and_recreation,100_capital_outlay,101_housing_and_community_development,102_sewerage,103_capital_outlay,104_solid_waste_management,105_capital_outlay,106_financial_administration,107_judicial_and_legal,108_general_public_buildings,109_other_governmental_administration,110_interest_on_general_debt,111_miscellaneous_commercial_activities,112_other_and_unallocable,113_utility_expenditure,114_capital_outlay,115_water_supply,116_electric_power,117_gas_supply,118_transit,119_liquor_store_expenditure,120_insurance_trust_expenditure,121_unemployment_compensation,122_employee_retirement,123_workers_compensation,124_other_insurance_trust,125_debt_outstanding,126_shortterm,127_longterm,130_public_debt_for_private_purposes,134_longterm_debt_issued,135_longterm_debt_retired,136_cash_and_security_holdings,137_insurance_trust_funds,138_unemployment_compensation,139_employee_retirement,140_workers_compensation,141_miscellaneous,142_other_than_insurance_trust_funds,143_offsets_to_debt,144_bond_funds,145_other
Arkansas,2016,12,40873,121825.9,26682770,24587262,7669426,7669426,0,0,16917836,11805696,2103819,5922681,4434087,1488594,479925,61068,230527,151345,565729,2781458,450159,163023,384556,5112140,3613961,1069062,909538,48351,1368275,8131,75146,4058,4207,25497,73870,28072,307063,185374,465206,1498179,246882,22968,23385,1204944,988730,493966,487986,3197,3581,0,1106778,323453,765995,17330,0,26782688,195,26782493,21370880,2408482,1897884,510598,472317,532570,1998244,7094722,26782493,23797003,2249182,21547821,8358803,768108,2711408,249927,5088236,518181,559159,97520,6914795,8837,6313976,591982,1128349,25630,311258,89321,1852,1757302,923103,105224,11531,2901,680398,292590,504403,4106,97288,377990,51763,270665,73790,186799,317124,125936,223458,14118,659614,222794,37536,229147,484624,47177,386540,987246,159300,486871,455628,3232,41515,0,1998244,204938,1778727,14579,0,18654310,9461,18644849,4163343,2500081,2363128,43825254,26431645,971584,25341981,118080,0,17393609,5163119,1723066,10507424
Arkansas,2018,22,43661,130865.2,31277423,26237974,8135835,8135835,0,0,18102140,12445311,2315879,6289211,4724683,1564528,492970,64293,226728,161909,618627,2866175,390756,164617,418673,5656829,4022466,1414934,1251887,49697,1387313,8251,80772,4347,3063,27837,80205,29611,346913,183853,455367,1634362,314228,23420,24027,1272688,1015274,521098,487956,2838,3383,0,4024175,222536,3782123,19516,0,27639899,189,27639710,21646373,2792597,2315015,477582,479449,563409,2157882,7551103,27639710,24480390,2608435,21871955,8679054,905674,2840381,329953,5275769,575721,562904,105662,6823664,6250,6252582,564832,1379058,49012,279867,90015,1850,1979226,1174127,132790,2718,3776,698591,321022,505475,14011,94697,348092,40119,260611,46276,196902,304123,103317,225051,17308,625788,227481,36796,235411,512152,43539,366981,1001439,184162,513613,450362,2400,35064,0,2157882,126221,2017175,14486,0,19114930,26740,19088190,3896440,1974768,1913984,50291911,32037381,1441832,30481367,114182,0,18254529,4924364,2028372,11301793
Arkansas,2019,14,45037,135302.7,30626770,26989530,8165669,8165669,0,0,18823861,12922653,2377225,6408733,4836245,1572488,496158,67104,218651,158803,631771,3012491,533915,168295,421993,5901209,4175477,1447226,1282275,51081,1465942,8318,83998,4344,4396,25707,77500,31460,362087,189997,474502,1725731,383215,21603,19635,1301278,1081169,560748,515566,1725,3130,0,2556070,198636,2337447,19987,0,28800119,156,28799963,22894909,2624990,2186036,438954,490659,558158,2231247,7842336,28799963,25522445,2421057,23101388,8916645,1019825,2835173,286878,5506569,732946,574903,101357,7764763,5612,7156330,602821,1375419,44066,279821,93953,1832,1684625,887662,125427,3276,4848,722624,326947,524308,20192,98083,342493,30385,281990,57772,191509,315285,102285,233304,17713,656223,237561,39493,256301,508745,46519,389094,1046271,203934,549174,464787,1409,30901,0,2231247,98346,2118692,14209,0,19470364,13500,19456864,4530165,2551746,1519502,52993947,32574349,1658582,30802620,113147,0,20419599,5634245,2252027,12533328
California,2013,842,48502,1857200.9,493823235,351758615,65555576,65555576,0,0,286203039,203365115,52463467,63340119,44230817,19109302,5492850,357000,868703,3714043,8676706,66809000,7462000,3623422,9667107,82837924,60818603,9496325,8443743,385972,18790962,727916,2876493,624344,1296266,1979525,1433088,785616,6704312,2854152,13249604,22019321,4437086,1586662,526934,15468639,26693600,12886978,11461530,270028,2075064,0,115371020,12910454,94752285,1748829,5959452,456010824,2775752,453235072,321310905,41959752,35016764,6942988,10472842,19350944,60140629,119686603,453235072,356030859,33034122,322996737,103837413,9544239,34461989,3355645,64241804,6150340,5133620,1301577,67127801,6187305,46824196,14116300,23720737,1808943,15165987,517095,8754,18253361,8263663,3810632,463220,1413105,15090872,6861245,13056891,302848,4380928,5535784,830635,5668645,1087514,7912076,6610020,1969475,4039532,140308,5180739,7570203,680455,5361461,16692194,3623280,12146852,37063584,8925630,14225304,10948377,259146,11630757,0,60140629,11866557,41922732,1494297,4857043,421598222,1090109,420508113,44293141,46547433,46096039,925493373,626203485,-8505393,607380710,20214264,7113904,299289888,61744901,31485441,206059546
California,2014,759,51266,1980736.8,542501678,369798158,70763480,70763480,0,0,299034678,211201836,53799178,66490798,48527581,17963217,6063356,354297,833126,3723209,6989229,67995659,8858498,3802644,10255059,87832842,65194053,9876783,8767915,380320,20344911,707898,3078840,709304,1340858,1796180,1490529,894287,7039936,2798238,15116289,22638789,4521588,1659079,800618,15657504,27787978,13593189,11762118,260525,2172146,0,144915542,4758283,132019862,1830327,6307070,474923992,2785715,472138277,337025620,44070382,36468247,7602135,11455473,19308959,60277843,124852495,472138277,371503784,33340666,338163118,107766474,9741385,36090666,3614213,66267113,6124340,5408695,1315202,74157631,6922574,52248304,14986753,24658728,1597385,17451023,490118,14858,17866321,6299478,3230091,447478,2065281,15904639,7197117,14343228,1209830,4361173,4775598,644072,5617604,1164721,8122433,7214210,2248464,2740721,132614,4986346,8418045,826374,5486156,16625282,3900217,11521436,40356650,10729716,14790510,11808979,246128,13511033,0,60277843,9435409,44246240,1511574,5084620,425607386,868382,424739004,44105896,43318550,35107343,1038980513,728398859,-1708044,703478347,18910354,7718202,310581654,59352113,31121883,220107658
California,2015,837,54546,2125430.3,503676113,413985810,91384564,91384564,0,0,322601246,228842938,56964451,70059931,50556488,19503443,5711160,357373,832379,3745067,8857464,77929551,9007182,3920858,10960965,93758308,70029779,10268614,9138613,365301,23321436,759558,3186088,709859,1372124,1530248,1714043,872781,7379995,2928736,15986297,23728529,4425542,1591791,1181701,16529495,27989922,13249350,12212403,235687,2292482,0,61700381,9997694,43569127,1830327,6303233,514882148,2786881,512095267,376478630,44285792,37162835,7122957,12087102,19423537,59820206,130304927,512095267,410577739,32407630,378170109,115172333,9785335,37201730,3379287,72054580,6374070,5916023,1418198,102369041,7156564,79673180,15539297,25665180,1351876,19655706,413393,15473,16562840,6235429,3197818,485649,1895948,16535225,7501465,15275175,1008166,3735717,4829149,846084,5832536,1035032,8282602,6927309,2031716,2928725,140568,5203616,7809942,796122,5811366,16671528,4120992,11464691,41697322,11878162,15073016,11746317,222404,14655585,0,59820206,5675924,47245778,1511574,5386930,421315510,807706,420507804,42489406,46859326,50964565,1064296799,749638395,-5647367,727984391,18910354,8391017,314658404,55827968,30008178,228822258
California,2016,931,56560,2218457.8,511974138,444254874,102626183,102626183,0,0,341628691,238493453,61266035,70523753,52365154,18158599,5000539,368699,840034,3840395,8108932,80753345,9902185,4060557,11987578,103135238,80459550,12955850,11809793,366527,25032618,816510,3542889,737238,1377859,1705119,1750490,983027,7628144,3020720,20909086,22675688,4732384,1663429,762702,15517173,27722548,12988719,12224231,259695,2249903,0,39996716,6222524,24986261,2398281,6389650,550055846,2811529,547244317,406868044,47072922,38282145,8790777,12462421,19376371,61464559,137287651,547244317,444896618,36437201,408459417,124674645,10582354,39921915,3795388,78527510,6786966,6225220,1460759,113426356,7280037,91158004,14988315,26923916,1560243,20956413,310551,8318,17139733,6437264,3780712,524103,1471559,17557870,8016111,15468283,865857,4396610,7706815,2119777,6408730,1374070,8045955,8674630,3414335,3307309,169210,5409304,8676531,812671,6064113,16809120,4586016,12279485,40883140,10635721,16085142,10995567,234460,13567971,0,61464559,5397144,49501952,993148,5572315,437899643,803919,437095724,43757511,54512101,48473472,1084721404,747972495,-3088756,722270670,19726662,9063919,336748909,54886183,33694631,248168095
California,2018,1065,61509,2431822,658001851,503963042,112822075,112822075,0,0,391140967,273199948,66688968,80550382,56380345,24170037,6351756,381670,2428121,4136224,10872266,95152230,12488304,4688457,13631606,117941019,90837020,13827945,12675923,373304,28752785,969887,4135301,750853,1549143,2096520,1766486,869054,9125286,3287513,23706248,27103999,5463801,2736821,269069,18634309,31948842,16096641,13295560,314219,2242421,0,122089968,6011447,106480308,2140394,7457819,601387191,2931228,598455963,448933606,47691606,38435917,9255689,12557215,21278471,67995066,152261956,598455963,485852885,37681785,448171100,141027387,13228660,43517089,4177147,90658108,9049834,6852190,1689196,122384319,6788576,98272053,17323690,30303970,1283871,26754207,299604,19058,16021945,5666922,5271387,571332,1456083,19982398,9161385,15526884,717949,4416452,6630247,975224,6952018,1043514,8784604,9389304,3426222,3541584,160368,5641989,8813270,748197,7027610,18482307,1494779,13461370,44608013,10009821,18511238,10536656,262599,15297520,0,67995066,5232224,55381847,1027717,6353278,493090635,790691,492299943,54019910,71732952,49745166,1340202259,944752910,5940746,908694328,20372299,9745537,395449350,63319032,42464710,289665607
California,2019,1015,64333,2544235,666931309,533193967,112818330,112818330,0,0,420375637,289467876,72711695,83296431,57895002,25401429,7557711,353296,1979149,4158212,11353061,100079921,13792519,4929132,14658178,130907761,97893948,15499308,14301375,364358,32945654,913338,4360457,765068,1612459,1999582,1687718,878263,9333394,3325408,24573298,33013813,8973614,2697196,550413,20792590,33032062,16298261,14129846,331927,2272028,0,100705281,5978491,84444963,2140394,8141433,637923760,2866190,635057570,477057588,52378803,43803106,8575697,12937463,20913777,71769939,158183104,635057570,516008190,41802868,474205322,151747752,15138849,49681787,4926383,94980437,10212466,7085528,1760016,133978520,6917786,108643810,18416924,31593721,1262160,28975310,283798,22137,19310289,7492974,6165188,555865,1529167,20795006,9303879,15033830,309862,4657261,7101199,1298434,7280170,1129801,8889557,9321459,3288761,3796923,184360,5725552,9193423,646660,7309672,18099825,1229116,11702893,47279441,10575935,18519077,11860722,286489,16613153,0,71769939,5110692,58846715,1027717,6784815,506660575,795747,505864828,53692563,53961166,44165566,1404717077,989744756,7434484,951748196,20372299,10189777,414972321,67074182,43913489,303984650
Colorado,2013,129,47404,249512.7,54734901,42658799,7765397,7765397,0,0,34893402,22480089,7108466,7994450,5763738,2230712,626619,39217,198748,160146,1205982,5528485,652180,531879,664629,12413313,8646062,2860659,2418027,86942,2080099,148336,806238,19528,0,53396,355680,148516,898910,107484,1167216,3767251,1006713,184780,75792,2499966,2881635,1551769,965300,220345,144221,0,9194467,1616574,7029044,418255,130594,50450874,3005,50447869,35800474,5910028,4620826,1289202,491909,2418792,5826666,14440383,50447869,40438510,4589565,35848945,13506946,1469136,4662517,541780,8197214,758041,647215,241110,5890594,129002,4599568,1162024,2497954,101672,1320512,75354,2583,2506477,1191765,653651,37484,0,1636127,739879,1224618,9043,158964,443303,41488,1190231,230178,743075,988102,410958,113035,14086,702137,685530,255932,691870,2067785,96435,1968822,4182693,1320463,1660361,967187,209739,1345406,0,5826666,1040084,4238392,435372,112818,53501838,52463,53449375,13097767,8474786,6994576,94345880,49268497,1152678,45885955,1994522,235342,45077383,15639144,4048757,25389482
Colorado,2014,94,50797,271410.2,57093755,44473053,8340379,8340379,0,0,36132674,23345815,7333835,8301815,6068688,2233127,647104,40886,195963,166129,1183045,5658457,717506,548996,785206,12786859,8944954,3014395,2549273,87349,2236893,168019,731356,22908,0,53479,336303,164310,900428,110165,1206698,3841905,968312,171041,57464,2645088,2658812,1368613,923942,218161,148096,0,9961890,403964,8894276,573566,90084,53650912,3536,53647376,38546257,6400162,5077266,1322896,495690,2429100,5776167,15105621,53647376,43633369,5052549,38580820,14563558,1726348,5056574,617111,8788223,933405,718761,268676,6758539,114149,5393301,1251089,2742748,103636,1365163,76320,2557,2758421,1251489,750806,42735,0,1762363,840353,1252486,13526,155868,447686,43888,1128273,204400,803671,978316,439860,119316,12360,751003,714346,253379,756120,2055134,119133,2166399,4237840,1347613,1633434,938177,198434,1467795,0,5776167,746199,4479913,425826,124229,54271189,52112,54219077,12666725,5869434,6968620,99299390,54281994,730134,51375562,1994522,181776,45017396,15089766,4082528,25845102
Colorado,2015,107,52339,284836.8,55340011,46278653,9038953,9038953,0,0,37239700,24641731,7369435,8796836,6473530,2323306,667948,41392,204003,170516,1239447,6360629,669054,572553,873224,12597969,8970225,3163645,2694611,89420,1899482,280534,778216,23511,0,80403,335256,153668,931482,115578,1208450,3627744,935591,204732,101916,2385505,2766018,1434250,957522,224135,150111,0,6295340,729386,4796097,762699,7158,55219433,1699,55217734,39441336,6812597,5591629,1220968,872228,2411209,5680364,15735181,55217734,45063968,5230314,39833654,15340623,1735203,5380159,808274,9077507,923367,882957,281788,7969352,148720,6386126,1434506,2249235,68813,741227,67647,5182,2941966,1364837,766682,44108,0,1779074,884736,1289610,20234,123415,472491,61813,1171845,205916,817235,1029463,432198,135353,15117,813029,793648,267613,798371,2076436,111621,2092218,4473402,1582283,1682099,984392,208267,1598644,0,5680364,519595,4707374,442038,11357,55871578,73481,55798097,12637981,6053391,5988851,103532930,56912109,1406282,53157414,2244672,103741,46620821,15178196,4451604,26991021
Colorado,2016,105,52390,289673,55105506,48398207,9615003,9615003,0,0,38783204,25712268,7909040,9374783,6821412,2553371,667037,43407,202999,162010,1477918,6485602,626109,591757,724977,13070936,9242729,3323765,2851706,90771,2006234,279970,796430,24776,0,60976,333304,182660,893478,120120,1221016,3828207,959139,312414,100946,2455708,2741182,1428085,974883,188098,150116,0,3966117,681408,2622514,659790,2405,57851779,4781,57846998,41665163,7012503,5722775,1289728,909753,2350353,5909226,16458212,57846998,47388311,5338431,42049880,16331079,1834350,5994326,952329,9407782,880207,928971,289409,8543733,142465,7036956,1364312,2425927,138984,772356,57653,4130,2980071,1327711,765390,46609,0,1829355,944795,1309595,30796,123350,502985,67294,1224071,225029,914760,956777,375290,141989,19432,837623,824632,313314,868629,2040783,114036,2225260,4549461,1674072,1755383,1026758,157213,1610107,0,5909226,547071,4937952,409590,14613,54029016,135882,53893134,11947384,6839003,7935597,104061689,54923775,1378012,51069091,2371947,104725,49137914,15216215,4398685,29523014
Colorado,2018,97,58471,331955.4,71200622,55571483,10337979,10337979,0,0,45233504,30027219,9271087,10938187,7950557,2987630,675962,46989,195415,160064,1909200,7510366,782679,697162,827739,15206285,10727587,3691457,3170718,96458,2303768,406570,982752,30714,0,67543,413732,206015,1075316,135366,1414356,4478698,1211942,341245,125415,2800095,3127280,1749708,1037661,170451,169461,0,12501859,629222,11197317,673635,1685,64617117,1987,64615130,46953698,7971751,6308633,1663118,911402,2556959,6221320,18051738,64615130,53987044,6723122,47263922,18705961,2523000,6620085,665581,11005557,1831764,1080319,303904,9776764,65330,8178272,1533162,2808011,167382,831024,59972,2949,3383374,1605753,858880,60297,0,1995863,1111416,1408139,19124,132791,605087,97656,1551450,327526,1042120,1115675,394597,143277,19201,1237311,921572,385571,952270,2267594,100605,2225165,4406767,1248629,1927263,1088923,174016,1216565,0,6221320,415641,5410480,383824,11375,56314641,134607,56180034,12460729,6842400,6312864,119713051,64459735,1905858,59731292,2744352,78233,55253316,15493610,5275157,34484549
Colorado,2019,231,61087,350390.1,64108756,58937527,10161499,10161499,0,0,48776027,32345461,10459442,11384052,8286103,3097949,676881,48934,190415,167288,2014431,8171546,794659,552328,983435,16430566,11395211,3836653,3304163,99291,2508356,443996,1029097,30362,0,79689,448155,198977,1111113,137369,1571445,5035354,1415759,479958,147220,2992417,3243394,1784728,1110234,162122,186311,0,1927835,594982,677764,653357,1732,66252836,2061,66250775,48244308,7990817,6294204,1696613,986676,2697170,6331803,18845502,66250775,55517399,6902562,48614837,18926631,2571859,6049920,600345,11630195,1855954,1246516,312871,9656496,71507,7969463,1615526,2851543,50567,979540,42035,6318,3269575,1510906,818474,56035,0,2131681,1361321,1449425,20543,134300,679236,117994,1669486,411538,1161822,1286698,534530,142680,12812,1224548,953418,297051,1045605,2418543,110218,2531847,4401573,1088255,1852096,1105840,176560,1267077,0,6331803,381785,5567151,379094,3773,63953107,425188,63527919,13222295,10197907,5456762,127890561,61136691,2274478,55992293,2793807,76113,66753870,16687267,6500674,43565929
Connecticut,2013,144,62647,226175.8,44428745,37846901,6814426,6814426,0,0,31032475,25842236,9662643,6637162,3838385,2798777,497013,60416,399885,340920,1500543,7811949,568632,209745,952105,5190239,3252525,1363325,1141402,122516,332577,10640,43522,68310,1025,33731,113623,133966,389052,216368,546386,1937714,671202,39875,13232,1213405,784843,307030,403896,15153,58764,0,5797001,1721753,4037719,37529,0,40544778,0,40544778,29046335,3783628,3200125,583503,508737,1866238,5339840,12217381,40544778,33899938,3445072,30454866,11974372,935988,2609964,317621,8649785,508230,714623,159115,6217571,201667,5081017,934887,1267379,10276,799746,17347,29496,2157951,1074742,25510,40780,2056,1120723,581750,657483,14935,100275,212089,30753,270804,31409,856091,623724,316464,345823,14647,565783,626635,275340,566298,1822664,15834,2567299,1305000,338556,311639,383001,15271,595089,0,5339840,1523823,3785109,30908,0,43334446,759806,42574640,12717842,4246598,3802122,56230984,34028931,-135965,34135137,29759,0,22202053,14849235,1261156,6091662
Connecticut,2014,125,65498,236756.6,45460754,38742491,7175964,7175964,0,0,31566527,26054906,9969285,6782404,3981362,2801042,503252,60686,376489,315287,1545328,7772602,627358,211091,692166,5511621,3309096,1341001,1205837,114531,340358,8528,50359,72514,1217,44315,103122,138085,419715,214243,575639,2202525,678315,55672,11056,1457482,813544,328431,408150,17895,59068,0,5904719,624696,5239871,40152,0,42400256,0,42400256,30964263,3823385,3177793,645592,536952,1836507,5239149,12431215,42400256,35818456,3509921,32308535,12557070,978411,2909156,388978,8885117,450965,762797,168399,6842191,205230,5629956,1007005,1307987,9315,859956,19650,29716,2270308,1131317,59952,45528,2345,1136992,585345,693857,5823,98898,212423,27101,244352,17469,1031663,600645,256826,334613,20450,586514,667580,132271,810732,1793221,4121,2722127,1342651,313464,331914,390036,20108,600593,0,5239149,1177107,4030631,31411,0,44542676,814538,43728138,12106447,6260619,5539665,59816613,37846501,487258,37328227,31016,0,21970112,14317585,1037853,6614674
Connecticut,2015,93,67321,243164.6,43346308,39664307,7595579,7595579,0,0,32068728,26563536,10219905,6554350,4082787,2471563,481825,61612,357944,283074,1287108,8182071,650014,219903,737293,5505192,3430053,1425689,1282001,121093,387300,9440,39598,75516,1346,33846,103964,141081,448294,187599,576380,2075139,688888,33767,17869,1334615,788718,329906,382494,19361,56957,0,2893283,918825,1934366,40092,0,40154113,0,40154113,28460000,4153430,3502691,650739,541510,1844282,5154891,12390860,40154113,33602379,3827956,29774423,13078525,1103420,3122235,463854,9173400,532231,782890,169386,3751582,200913,2490129,1060540,1381031,8583,906764,19225,30750,2355983,1132978,71900,48556,2460,1172595,589368,697957,4091,101409,249639,58467,347591,108286,801790,613432,278971,298901,16204,624681,706037,133796,785894,1799399,4601,2859127,1396843,325474,364258,368302,23364,640919,0,5154891,746856,4379624,28411,0,46372349,655037,45717312,12502655,6481422,4304106,61801535,38974877,169198,38771064,34615,0,22826658,15025786,927672,6873200
Connecticut,2016,108,68680,247777.4,42801774,39865450,8002677,8002677,0,0,31862773,26318638,10501407,6518905,3752793,2766112,467749,56345,350723,298858,1592437,7557153,765492,224287,751394,5544135,3436763,1471060,1341462,108360,411266,6863,22621,75643,1238,31412,97817,141818,445797,169514,561714,2107372,683972,35809,18826,1368765,821026,332778,418454,16475,53319,0,2115298,816878,1258513,39907,0,41772915,0,41772915,29249578,4556485,3933943,622542,539650,1930280,5496922,12686556,41772915,34774492,4238229,30536263,13638621,1337785,3367320,593763,9435739,629509,835562,174148,3853992,189704,2515660,1148628,1392930,17990,961129,23386,30905,2572009,1323762,41333,48247,2313,1249334,579636,682862,4065,105197,283448,82231,274268,45104,886082,642347,289781,298144,18183,679403,729646,120898,747551,1879583,4706,2872374,1501501,318256,412434,426739,21611,640717,0,5496922,687975,4782401,26546,0,48078777,540540,47538237,12519281,7005680,5233386,64685914,41137781,764322,40333293,40166,0,23548133,14927225,1127905,7493003
Connecticut,2018,93,73176,264263.1,49665298,43500740,7770533,7770533,0,0,35730208,30190273,11095805,7596995,4400808,3196187,487327,63211,376814,261184,2007651,9733258,778232,238351,747632,5539935,3549850,1507344,1390879,95126,466795,15851,24359,78864,862,34069,104669,143157,461368,157077,555435,1990085,749783,23925,18540,1197836,812679,357262,378098,19869,57450,0,5351879,763731,4551902,36246,0,41791755,0,41791755,29662163,3702588,3196231,506358,506546,2063698,5856759,12950646,41791755,34435674,3430481,31005193,13582214,906781,3183496,372491,9745343,503852,653375,176841,3887832,173544,2655579,1058709,1447948,40602,1034563,20868,25598,2112001,1121982,29715,59121,1840,1226159,636778,616240,5069,103718,197578,32312,270165,34332,719967,660491,307267,276579,20350,579506,630471,142218,660160,2010939,4643,3321520,1499322,272108,382455,353777,19026,744063,0,5856759,685062,5145533,26164,0,51693369,421652,51271717,13105144,6087225,4928516,71866461,46563823,1153748,45360167,49908,0,25302638,15893437,1290902,8118299
Connecticut,2019,80,74930,270282.8,50322835,44454140,8964342,8964342,0,0,35489798,29621261,11463831,7787888,4589035,3198853,497860,64146,357525,273076,2006246,8457229,900419,243358,768536,5868537,3694558,1526740,1410162,94676,473759,13690,33193,78686,879,33185,111671,140143,455992,161294,665325,2173979,818307,13516,23888,1318268,886290,367222,371518,21462,126088,0,4982405,750055,4199773,32577,0,43187166,0,43187166,30800055,3937224,3380773,556450,515103,2005059,5929726,12513621,43187166,35770684,3716844,32053840,14002471,1040865,3190445,379919,10150435,633246,661591,182419,4002522,164235,2760662,1077625,1487243,16901,1039706,20925,26267,2096672,1081418,44788,53119,1593,1242812,606401,646374,3130,103247,199865,36179,309527,54677,797831,633766,278844,282909,18943,618736,685907,125258,703182,1956795,4453,3895894,1486756,220380,384339,351156,23680,727581,0,5929726,602724,5304123,22879,0,53612594,440781,53171813,14333489,5090076,4522844,74488803,47725605,1474860,46200516,50229,0,26763198,17173537,1221945,8367716
Delaware,2013,13,44404,41100.3,10954394,9261995,1993279,1993279,0,0,7268716,4251578,742183,501160,0,501160,112616,18412,115191,64043,190898,1187059,315083,51237,1454856,3017138,1532760,798683,784004,13785,8185,285753,7329,15803,36750,1286,14698,15427,149359,69232,130255,1484378,151136,23264,2354,1307624,439948,75534,347349,0,17065,0,1252451,247279,997301,7871,0,10525974,956,10525018,8039569,950554,788209,162345,259810,487688,787397,2639178,10525018,9182914,904319,8278595,3480237,344380,1252274,181857,1847436,157935,380527,49803,1928830,39728,1595433,293669,97410,248,450876,18417,0,571216,328381,6959,9467,39387,327268,32892,285481,2827,60432,64023,6798,66843,14150,150213,174647,53472,80542,10553,208453,196026,88957,116709,472147,784,204895,554707,46235,99851,320138,0,134718,0,787397,195917,585214,6266,0,8332774,38,8332736,2697191,1028016,992525,17073586,8617928,-23989,8640312,1605,0,8455658,2895228,498067,5062363
Delaware,2014,13,46015,43031.6,11273143,9098734,2124967,2124967,0,0,6973767,4123817,775033,495446,0,495446,113326,19616,114659,63099,184746,1096160,284419,51790,1420969,2849950,1520029,760920,745499,14454,8054,294019,7364,17587,35929,1251,16248,16339,157258,74822,130238,1329921,124476,23939,2510,1178996,456421,85607,352103,0,18711,0,1717988,96710,1613348,7930,0,10796183,1003,10795180,8389529,856189,712273,143916,292281,466961,790220,2622595,10795180,9403182,790648,8612534,3546231,307715,1226683,132768,1908296,171618,411252,40815,2092380,39939,1745704,306737,93238,255,469458,17916,0,497758,252463,7091,9159,37474,343148,33030,296699,4289,64012,78240,16392,68467,15077,142338,193316,51945,84256,7987,209784,197541,105743,128724,453172,1030,192162,601778,65541,105328,336522,0,159928,0,790220,176877,607475,5868,0,7614743,19,7614724,2056260,493875,1234417,17696390,9974833,163304,9809467,2062,0,7721557,2278064,414815,5028678
Delaware,2015,11,47868,45216.1,10307049,9156174,1976633,1976633,0,0,7179541,4502556,808922,514463,0,514463,117401,20708,102695,61172,212487,1198140,406493,54663,1519875,2676985,1553566,792344,778127,13340,5485,295339,7908,17578,40492,1393,13921,17219,162344,78494,121049,1123419,114425,20540,7922,980532,469724,85412,362991,0,21321,0,681151,140401,532539,8211,0,10820667,916,10819751,8676483,758085,621919,136166,318913,316589,749681,2698594,10819751,9509701,707565,8802136,3616850,261212,1282998,153925,1882216,103129,451636,42722,2280592,40917,1892733,346942,90693,488,463110,17493,0,468036,214533,7108,9219,43626,360615,35532,304986,2441,64540,80441,19435,70836,15664,144647,183908,59367,83234,4846,210531,193520,99001,123427,304285,1541,209208,560369,50520,100968,336570,0,122831,0,749681,81005,663452,5224,0,7625280,0,7625280,1924399,786221,856188,18211539,10206622,106026,10097609,2987,0,8004917,2152645,637666,5214606
Delaware,2016,15,48734,46444.8,10284816,9678193,2247296,2247296,0,0,7430897,4532432,819763,555513,0,555513,125453,20274,111762,59801,238223,1169922,323697,54287,1609250,2898465,1469275,663953,651131,11997,5430,316399,7075,19135,38418,1489,15978,17280,164753,82733,136632,1429190,113233,26236,2750,1286971,487951,88203,378868,0,20880,0,118672,131251,-20790,8211,0,11268907,252,11268655,8940653,889265,717256,172009,334206,322673,781858,2716842,11268655,9938805,845999,9092806,3678447,246322,1262793,137974,1949722,104579,465932,50594,2416452,42014,1992880,381558,83923,300,481989,17066,0,586099,339461,7369,11322,58203,354420,34617,310914,2524,69680,87797,11650,85848,27516,146549,193204,64634,87102,7176,215263,199184,98874,134830,306814,9,222236,547992,43266,97842,313062,0,137088,0,781858,75790,700844,5224,0,7585973,4,7585969,1830876,731738,709524,17802701,9830357,206108,9621262,2987,0,7972344,2063691,650927,5257726
